,Title,Published_date,Views,Likes,Comments,Month
536,Reality of PNB Scam & Nirav Modi by Dhruv Rathee | Banks and Businessman jeweler Explained,2018-02-17,1756761,85626,5749,Feb
537,Bitcoin in India by Dhruv Rathee | What is Bitcoin? How to buy Bitcoin? Is it legal?,2018-02-13,351914,17548,1216,Feb
538,Biggest Jumla Ever | Dhruv Rathee on Facebook Live | Power and Water Ministry,2018-02-09,200384,14187,1710,Feb
539,"Reality of Budget 2018 | Dhruv Rathee Critical Analysis (Income Tax, Salaried people)",2018-02-03,319254,17381,2004,Feb
540,"Truth behind Padmaavat film | Q&A Part-2 of Dhruv Rathee | Questions on Travel, Bitcoin & 2019",2018-01-29,535707,28647,2389,Jan
541,"Stupidity & Ache Din in UP | Ep.7 The Dhruv Rathee Show [Science, Evolution, SBI Bank Fees ]",2018-01-23,1090574,70341,5888,Jan
542,Reality of Supreme Court Judges & Justice Loya Case Explained by Dhruv Rathee,2018-01-15,1371325,79165,5996,Jan
543,Reality of Aadhaar Card by Dhruv Rathee,2018-01-10,1183969,68824,4482,Jan
544,"Which is the Best State in India? | Dhruv Rathee Analysis on Economy, Environment, Development",2018-01-06,6448041,236346,32669,Jan
545,Manish Sisodia Interview with Dhruv Rathee Part-2 | Education & Govt Schools,2017-12-28,626853,31106,2447,Dec
546,"Christmas Gifts for Netas: 2G Spectrum Scam, Adarsh, Fodder Clean Chits |  Live with Dhruv Rathee",2017-12-23,147423,7215,809,Dec
547,Modi & Ivanka Lied?! | Ep.6 The Dhruv Rathee Show (Adani's Coal mine & Smart Waste),2017-12-21,1778815,103735,7624,Dec
548,"Shehzad Poonawalla Interview with Dhruv Rathee | Congress Dynasty, Appeasement & Economy",2017-12-16,411745,13872,2687,Dec
549,FRDI Bill: Your Bank Deposits & Savings are at risk! | By Dhruv Rathee,2017-12-13,376011,19208,1960,Dec
550,"Reality of Gujarat Model by Dhruv Rathee  | All aspects of Economy, growth, HDI, Investment & more",2017-12-07,652971,30544,4517,Dec
551,Yoga with Wrong Number Baba |  Pee News Interview ft. Dhruv Rathee & Akash Banerjee,2017-12-03,368473,16900,2440,Dec
552,"Vinod Dua Exclusive Interview with Dhruv Rathee | Media, Modi & Indira Gandhi",2017-11-29,1240236,43817,2360,Nov
553,Jan Gan Man Ki Baat: Behind The Scenes with Dhruv Rathee & Vinod Dua,2017-11-26,146949,5160,326,Nov
554,Padmavati Crorepati Prizes & Moody's credit ratings! | Ep.5  The Dhruv Rathee Show,2017-11-23,572151,32088,2488,Nov
555,'An Insignificant Man' Film Directors Interview with Dhruv Rathee,2017-11-16,330989,12881,676,Nov
556,Manish Sisodia Exclusive Interview with Dhruv Rathee | Smog in Delhi & Odd-Even,2017-11-10,352582,15549,1189,Nov
557,Online Shopping Safety by Dhruv Rathee ft. UIC [ Amazon / Flipkart / OLX ],2017-11-07,306181,12129,686,Nov
558,"Dhruv Rathee in Special Event ft. Faye D'souza, Richa Chadha and Rega Jha | On Garbage Management",2017-11-05,229786,8013,429,Nov
559,10 yrs of Congress govt. Analysis by Dhruv Rathee,2017-10-30,2047455,83793,14999,Oct
560,"Ache Din are here in Rajasthan! | Ep 4 The Dhruv Rathee Show [Digital India cess, Tax money]",2017-10-23,452332,27025,2191,Oct
561,GST Bills in Restaurants by Dhruv Rathee | Goods and Services Tax,2017-10-20,413489,20305,855,Oct
562,Reality of Diwali Firecrackers by Dhruv Rathee | Health Impact compared to Cars & industries,2017-10-18,133975,7636,1480,Oct
563,Diwali with Bhakt | Pee News Interview by Dhruv Rathee ft. Akash Banerjee on crackers,2017-10-14,765347,44771,5047,Oct
564,"Amit Shah's son, Adani & Ambani | Ep 3 The Dhruv Rathee Show",2017-10-09,1604273,80141,3633,Oct
565,Important Tips to make you more employable and get Jobs by Dhruv Rathee | Fighting Unemployment,2017-10-02,301284,15875,977,Oct
566,Indian Economy is Crashing Down! | Ep. 2 The Dhruv Rathee Show,2017-09-24,207595,10342,1325,Sep
567,How to Save Rivers in India by Dhruv Rathee |  Can Rally for Rivers work?,2017-09-19,166583,9020,974,Sep
568,New What's App Forward nowadays | Dhruv Rathee Facebook Live,2017-09-17,118576,5960,542,Sep
569,Reality of Petrol Price Hike by Dhruv Rathee | Huge Tax Increase,2017-09-16,520972,34700,3497,Sep
570,New ₹200 Currency Note Easier to Fake! | Ep. 1 The Dhruv Rathee Show [Money & Inequality],2017-09-10,217357,13352,2417,Sep
